Reporting Period,ID RSSD,UBPR2746
3/31/2022 11:59:59 PM,79145,0
3/31/2022 11:59:59 PM,79257,0
3/31/2022 11:59:59 PM,79855,1993
3/31/2022 11:59:59 PM,80150,43
3/31/2022 11:59:59 PM,80374,0
3/31/2022 11:59:59 PM,80431,0
3/31/2022 11:59:59 PM,81175,0
3/31/2022 11:59:59 PM,82033,0
3/31/2022 11:59:59 PM,82257,0
3/31/2022 11:59:59 PM,82350,0
3/31/2022 11:59:59 PM,83151,0
3/31/2022 11:59:59 PM,83236,0
3/31/2022 11:59:59 PM,83375,0
3/31/2022 11:59:59 PM,83638,0
3/31/2022 11:59:59 PM,83834,0
3/31/2022 11:59:59 PM,83852,0
3/31/2022 11:59:59 PM,83955,0
3/31/2022 11:59:59 PM,84046,425
3/31/2022 11:59:59 PM,84541,0
3/31/2022 11:59:59 PM,84804,0
3/31/2022 11:59:59 PM,85052,0
3/31/2022 11:59:59 PM,85472,93666
3/31/2022 11:59:59 PM,85931,0
3/31/2022 11:59:59 PM,86349,0
3/31/2022 11:59:59 PM,86675,0
3/31/2022 11:59:59 PM,87047,0
3/31/2022 11:59:59 PM,87159,0
3/31/2022 11:59:59 PM,87234,0
3/31/2022 11:59:59 PM,87476,0
3/31/2022 11:59:59 PM,87579,0
3/31/2022 11:59:59 PM,88231,0
3/31/2022 11:59:59 PM,88259,0
3/31/2022 11:59:59 PM,88352,0
3/31/2022 11:59:59 PM,88455,146
3/31/2022 11:59:59 PM,88950,0
3/31/2022 11:59:59 PM,89032,442
3/31/2022 11:59:59 PM,89135,0
3/31/2022 11:59:59 PM,89854,0
3/31/2022 11:59:59 PM,89957,0
3/31/2022 11:59:59 PM,90047,0
3/31/2022 11:59:59 PM,90177,0
3/31/2022 11:59:59 PM,90328,89
3/31/2022 11:59:59 PM,90337,0
3/31/2022 11:59:59 PM,90579,0
3/31/2022 11:59:59 PM,91615,0
3/31/2022 11:59:59 PM,91754,0
3/31/2022 11:59:59 PM,91950,0
3/31/2022 11:59:59 PM,92144,0
3/31/2022 11:59:59 PM,92676,0
3/31/2022 11:59:59 PM,92706,0
3/31/2022 11:59:59 PM,92902,0
3/31/2022 11:59:59 PM,93244,0
3/31/2022 11:59:59 PM,93543,0
3/31/2022 11:59:59 PM,93619,0
3/31/2022 11:59:59 PM,94139,0
3/31/2022 11:59:59 PM,94522,5029
3/31/2022 11:59:59 PM,94755,0
3/31/2022 11:59:59 PM,94858,0
3/31/2022 11:59:59 PM,95051,0
3/31/2022 11:59:59 PM,95677,0
3/31/2022 11:59:59 PM,96553,0
3/31/2022 11:59:59 PM,97055,0
3/31/2022 11:59:59 PM,97279,0
3/31/2022 11:59:59 PM,97457,0
3/31/2022 11:59:59 PM,97804,0
3/31/2022 11:59:59 PM,97943,0
3/31/2022 11:59:59 PM,98351,0
3/31/2022 11:59:59 PM,98463,0
3/31/2022 11:59:59 PM,98717,0
3/31/2022 11:59:59 PM,99143,0
3/31/2022 11:59:59 PM,99376,2691
3/31/2022 11:59:59 PM,99442,0
3/31/2022 11:59:59 PM,99536,0
3/31/2022 11:59:59 PM,99853,0
3/31/2022 11:59:59 PM,100236,0
3/31/2022 11:59:59 PM,100357,0
3/31/2022 11:59:59 PM,100562,2613
3/31/2022 11:59:59 PM,100777,0
3/31/2022 11:59:59 PM,100843,202
3/31/2022 11:59:59 PM,101019,0
3/31/2022 11:59:59 PM,101037,0
3/31/2022 11:59:59 PM,101439,0
3/31/2022 11:59:59 PM,101671,0
3/31/2022 11:59:59 PM,101738,1654
3/31/2022 11:59:59 PM,101952,0
3/31/2022 11:59:59 PM,102333,0
3/31/2022 11:59:59 PM,102342,0
3/31/2022 11:59:59 PM,102539,0
3/31/2022 11:59:59 PM,102557,0
3/31/2022 11:59:59 PM,102874,5009
3/31/2022 11:59:59 PM,103134,0
3/31/2022 11:59:59 PM,104234,0
3/31/2022 11:59:59 PM,104542,0
3/31/2022 11:59:59 PM,104971,0
3/31/2022 11:59:59 PM,105026,6
3/31/2022 11:59:59 PM,105473,1608
3/31/2022 11:59:59 PM,105530,0
3/31/2022 11:59:59 PM,106359,9715
3/31/2022 11:59:59 PM,106452,1
3/31/2022 11:59:59 PM,106676,0
3/31/2022 11:59:59 PM,107244,1298286
3/31/2022 11:59:59 PM,107459,0
3/31/2022 11:59:59 PM,107570,0
3/31/2022 11:59:59 PM,107758,0
3/31/2022 11:59:59 PM,108072,848
3/31/2022 11:59:59 PM,108269,0
3/31/2022 11:59:59 PM,108652,0
3/31/2022 11:59:59 PM,108746,0
3/31/2022 11:59:59 PM,108951,0
3/31/2022 11:59:59 PM,109136,0
3/31/2022 11:59:59 PM,109154,0
3/31/2022 11:59:59 PM,109453,0
3/31/2022 11:59:59 PM,109574,0
3/31/2022 11:59:59 PM,109659,6048
3/31/2022 11:59:59 PM,110413,0
